kode_buku,judul_buku,pengarang,genre
0316706000,The Ice Storm,Rick Moody,Fiction
0316735167,Gossip Girl #6: You're the One That I Want,Cecily von Ziegesar,Juvenile Fiction
0316769487,The Catcher in the Rye,J.D. Salinger,Fiction
0316773786,Mind Over Money,John W. Schott;Jean S. Arbeiter,Business & Economics
0316831301,Strangers from a Different Shore,Ronald Takaki,History
0316853690,Stephen King Omnibus,Stephen King,New England
0316905747,Vampire Mountain,Darren Shan,Juvenile Fiction
0316907928,An Unfinished Life,Robert Dallek,Biography & Autobiography
0316910333,Gossip Girl #1,Cecily von Ziegesar,Young Adult Fiction
0316912123,Gossip Girl #3: All I Want is Everything,Cecily von Ziegesar,Young Adult Fiction
0316919896,A Supposedly Fun Thing I'll Never Do Again,David Foster Wallace,Humor
0316926345,Brideshead Revisited,Evelyn Waugh,Fiction
0316926604,The Complete Stories of Evelyn Waugh,Evelyn Waugh,Fiction
0316955124,Don't Stop the Carnival,Herman Wouk,Fiction
0316955175,Youngblood Hawke,Herman Wouk,Fiction
0321209184,American Government,Karen O'Connor;Larry Sabato,Political Science
032127623X,Essentials of American Government,Karen O'Connor;Larry J. Sabato,Political Science
0321303377,The Non-designer's Web Book,Robin Williams;John Tollett,Computers
0321344758,Don't Make Me Think!,Steve Krug,Computers
0321399536,Mary Wollstonecraft Shelley's Frankenstein, or, The modern Prometheus,Mary Wollstonecraft Shelley;Susan J. Wolfson,Fiction
0321427130,Oscar Wilde's The Picture of Dorian Gray,Oscar Wilde;Andrew Elfenbein,Fiction
0321432878,Andrew Carnegie and the Rise of Big Business,Harold C. Livesay,Biography & Autobiography
0325001537,The Power of One,Louis E. Catron,Performing Arts
0330239457,The Little Prince,Antoine de Saint-Exupéry;Katherine Woods,Children's literature, French
0330250698,The Thirteenth Tribe,Arthur Koestler,Jews
0330257315,Invisible Cities,Italo Calvino,
0330281720,Running in the Family,Michael Ondaatje,Authors, Canadian
0330301748,The Circus of Adventure,Enid Blyton,Juvenile Fiction
0330301756,The Island of Adventure,Enid Blyton,Abandoned mines
0330303317,The African Trilogy,Chinua Achebe,English fiction
0330304216,A Gift of Wings,Richard Bach,Air pilots
0330314912,The Orchard Keeper,Cormac McCarthy,Community life
0330316257,The Real Frank Zappa Book,Frank Zappa;Peter Occhiogrosso,Rock musicians
0330332651,A Dangerous Fortune,Ken Follett,Banks and banking, British
0330334611,The Border Trilogy,Cormac McCarthy,Fiction
0330334689,Misreadings,Umberto Eco,Literary Criticism
0330338811,Vurt,Jeff Noon,Brothers and sisters
0330340190,In Pharaoh's Army,Tobias Wolff,Authors, American
0330340328,The Reality Dysfunction,Peter F. Hamilton,English fiction
0330345044,Paper Money,Ken Follett,Conspiracies
0330346512,An Unquiet Mind,Kay Redfield Jamison,Biography & Autobiography
0330347764,The Golden Key,Melanie Rawn;Jennifer Roberson;Kate Elliott,Families
0330351699,Into the Wild,Jon Krakauer,True Crime
0330351826,A Second Chance at Eden,Peter F. Hamilton,Science fiction
0330353829,The Memoirs of Cleopatra,Margaret George,Egypt
0330363689,Just Disgusting!,Andy Griffiths,Australian fiction
033036734X,Bridget Jones,Helen Fielding,Diary fiction
0330367471,Rumer Godden,Anne Chisholm,British
0330371223,Four to Score,Janet Evanovich,Bail bond agents
0330371231,High Five,Janet Evanovich,Bail bond agents
033037124X,Hot Six,Janet Evanovich,Bail bond agents
0330373579,The Sign of the Cross,Colm Tóibín,Catholics
0330375466,Them,Jon Ronson,Political leadership
0330398040,Just as Long as We're Together,Judy Blume,Families
033041173X,Hour Game,David Baldacci,Fiction
0330412442,Bosnia,Noel Malcolm,Bosnia and Hercegovina
0330418882,Every Boy's Got One,Meg Cabot,Americans
0330419129,Under the Banner of Heaven,Jon Krakauer,Mormon fundamentalism
0330419153,Downsize This!,Michael Moore,American Wit And Humour
0330419587,Marching Powder,Rusty Young,Cocaine industry
0330419641,Absolute Power,David Baldacci,Murder
033043313X,Chasing the Monsoon,Alexander Frater,India
0330444573,Indecision,Benjamin Kunkel,Fiction
0330481916,Blackout,John J. Nance,Bombings
033048477X,American Psycho,Bret Easton Ellis,American fiction
0330487108,The Mimic Men,V. S. Naipaul,British
0330487140,A Bend in the River,V. S. Naipaul,Fiction
0330487159,The Enigma of Arrival,V. S. Naipaul,England
0330487191,A House for Mr Biswas,Vidiadhar Surajprasad Naipaul,Autonomy (Psychology).
0330488155,The Hunters,Claire Messud,American fiction
0330490265,Dirt Music,Tim Winton,Fiction
0330491199,The Hitchhiker's Guide to the Galaxy,Douglas Adams,Dent, Arthur (Fictitious character)
0333187628,Ragtime,E. L. Doctorow,Fiction
0333666380,City on the Seine,Andrew P. Trout,Paris (France)
0333904915,Fire on the Mountain (Hb),Adam Hochschild,Antislavery movements
0334028965,The Poet, the Warrior, the Prophet,Rubem A. Alves,Religion
0340425628,From Russia with Love,Ian Fleming,Adventure stories
0340425679,Casino Royale,Ian Fleming,Bond, James (Fictitious character)
034049168X,The Walls of Spyte,Dave Morris;Oliver Johnson;Jamie Thomson;Russ Nicholson;Geoff Wingate,
0340637870,How the Irish Saved Civilization,Thomas Cahill,Books
0340654163,Escape,James Clavell,Fiction
0340689609,Flatmates,Chris Manby,Apartments
034069291X,Crucifix Lane,Kate Mosse,London (England)
0340766166,Shōgun,James Clavell,British
0340766182,Whirlwind,James Clavell,Fiction
0340769203,Running Away from Richard,Chris Manby,Actresses
0340774770,The Road to War, 1933-1939,Andrew Hunt,Germany
0340796146,Five on a Treasure Island,Enid Blyton,Adventure stories
0340796154,Five Go Adventuring Again,Enid Blyton,Children's stories
0340796189,Five Go to Smuggler's Top,Enid Blyton,Children's stories
0340796316,Five Get Into a Fix,Enid Blyton,Adventure stories, English
0340796340,Five Have a Mystery to Solve,Enid Blyton,Children's stories
0340820462,On Writing,Stephen King,Authors, American
0340828064,Girl Meets Ape,Chris Manby,Animal sanctuaries
034082977X,The Waste Lands,Stephen King,Adventure fiction
0340831200,The Art of Happiness at Work,Dalai Lama XIV Bstan-ʼdzin-rgya-mtsho;Howard C. Cutler,Buddhism
0340837950,Stranger in a Strange Land,Robert A. Heinlein,Science fiction
0340838035,The Pact,Jodi Picoult,Bereavement
0340850620,Interstellar Pig,William Sleator,Human-alien encounters
0340878754,Nightingale's Song,Kate Pennington,Juvenile Fiction
0340917547,The Secret Seven,Enid Blyton,Adventure fiction
0345020324,A Fish Dinner in Memison,Eric Rucker Eddison,
0345246888,Tales of the Cthulhu Mythos,Howard Phillips Lovecraft,Horror tales
0345251229,Visions from Nowhere,William Arrow,Science fiction
0345253590,The best of Philip K. Dick,Philip K. Dick,Fiction
0345277600,Sir Gawain and the Green Knight, Pearl, and Sir Orfeo,,Fiction
0345296915,The Centurions,Damion Hunter,Fiction
0345301110,Story of O,Pauline Réage,Fiction
0345302354,The Crucible of Time,John Brunner,Fiction
0345305183,On a pale horse,Piers Anthony,Fiction
0345316509,Job, a Comedy of Justice,Robert Anson Heinlein,Fiction
0345321383,Bridge of Birds,Barry Hughart;E. E. "Doc" Smith;Joel Rosenbreg;Kathryn Lance;Lin Carter,
0345323904,With Friends Like These,Alan Dean Foster,Fiction
0345331052,The Doom that Came to Sarnath,Howard Phillips Lovecraft,Fiction
0345333225,Mission to Moulokin,Alan Dean Foster,Fiction
0345339711,The Fellowship of the Ring,John Ronald Reuel Tolkien,Fiction
0345339738,The Fellowship of the Ring,John Ronald Reuel Tolkien,Fantasy fiction
0345340442,The Belgariad Boxed Set,David Eddings,Fiction
0345345061,The Tolkien Reader,J. R. R. Tolkien,Fiction
0345346297,The Dragons of Eden,Carl Sagan,Nature
0345350804,The Best of H.P. Lovecraft,H. P. Lovecraft,Fiction
0345352440,The Adversary,Julian May,Science
0345354648,Five Patients,Michael Crichton,Social Science
0345368436,Douglas Adams's Starship Titanic,Terry Jones,Fiction
0345373944,Anne Rice's the Vampire Lestat,Faye Perozich;Anne Rice;Daerick Gross,Humor
0345375211,The Book of Lost Tales,John Ronald Reuel Tolkien,Fiction
0345376048,Long Distance Life,Marita Golden,African American families
0345377966,The Proud Highway,Hunter S. Thompson,Biography & Autobiography
0345384229,The Transition of H.P. Lovecraft,Howard Phillips Lovecraft,Fiction
0345384563,A history of God,Karen Armstrong,God (Christianity)
0345391691,The Battle for God,Karen Armstrong,Religion
0345396359,Better Than Sex,Hunter S. Thompson,Language Arts & Disciplines
0345396537,First King of Shannara,Terry Brooks,Fiction
0345396553,Ilse Witch,Terry Brooks,Fiction
0345396707,Waterborn,J. Gregory Keyes,Fiction
0345396936,Cry to Heaven,Anne Rice,Fiction
0345397398,The Vampire Companion,Katherine M. Ramsland;Anne Rice,Fiction
0345397606,Starshield Sentinels,Margaret Weis;Tracy Hickman,Fiction
0345397614,The Mantle of Kendis-Dai,Margaret Weis;Tracy Hickman,Fiction
0345407865,The Children of Henry VIII,Alison Weir,Biography & Autobiography
0345409469,The demon-haunted world,Carl Sagan,Body, Mind & Spirit
0345409701,Twister,Michael Crichton;Anne-Marie Martin,Motion picture plays
0345412818,Does Anybody Have a Problem with That?,Bill Maher,Humor
0345414004,Friday,Robert Anson Heinlein,Fiction
0345417968,The 158-Pound Marriage,John Irving,Fiction
0345418263,The Princess Bride,William Goldman,Fiction
0345418689,Reunion,Alan Dean Foster,Fiction
0345418778,Mostly Harmless,Douglas Adams,Fiction
0345418905,Life, the Universe and Everything,Douglas Adams,Fiction
0345419081,The Eight,Katherine Neville,Fiction
0345419626,The Queen of the Damned,Anne Rice,Fiction
0345419634,The Tale of the Body Thief,Anne Rice,Fiction
0345420748,While I Was Gone,Sue Miller,Fiction
034542204X,Tales of the Cthulhu Mythos,H. P. Lovecraft,Fiction
0345422406,Merrick,Anne Rice,FICTION
0345422910,The Straight Dope,Cecil Adams;Ed Zotti,Humor
0345423879,Candy,Luke Davies,Fiction
034542462X,Nightsword,Margaret Weis;Tracy Hickman,Fiction
0345425928,The Virtues of Aging,Jimmy Carter,Biography & Autobiography
0345428307,Trust Fund,Stephen Frey,Fiction
0345431103,Star Wars, Episode I,George Lucas,Fiction
034543191X,The King of Elfland's Daughter,Edward John Moreton Drax Plunkett Baron Dunsany,Fiction
0345432401,Omerta,Mario Puzo,Fiction
0345433742,The Genome War,James Shreeve,Science
0345434072,The Analects of Confucius,Confucius;Roger T. Ames;Henry Rosemont,Fiction
0345434900,The Real James Herriot,James Wight;Jim Wight,Biography & Autobiography
0345435257,Angel Fire East,Terry Brooks,Fiction
0345435753,Morgawr,Terry Brooks,Fiction
034543577X,Tanequil,Terry Brooks,Fiction
0345436911,The Dress Lodger,Sheri Holman,Fiction
034543708X,Henry VIII,Alison Weir,Biography & Autobiography
0345437837,The Case of the Curious Bride,Erle Stanley Gardner,Fiction
0345437977,The Courtesan,Susan Carroll,Fiction
034543871X,The Collapse of the Common Good,Philip K. Howard,Political Science
0345439104,Drowning Ruth,Christina Schwarz,Fiction
034543949X,The Best of Lester Del Rey,Lester Del Rey,Fiction
0345440145,I Am the One that I Want,Margaret Cho,Humor
0345440838,Schmidt Delivered,Louis Begley,Fiction
0345441036,Black House,Stephen King;Peter Straub,Fiction
0345441303,My Movie Business,John Irving,Biography & Autobiography
0345441699,The Dark Arena,Mario Puzo,Fiction
0345441702,The Sicilian,Mario Puzo,Fiction
0345442121,Time to Be in Earnest,P. D. James,Biography & Autobiography
0345442636,The Silent Gondoliers,William Goldman,Fiction
0345442741,Welcome to the Great Mysterious,Lorna Landvik,Fiction
0345443284,While I was Gone,Sue Miller,Fiction
0345443608,A Stroke of Midnight,Laurell K. Hamilton,Fiction
0345444884,The Talisman,Stephen King;Peter Straub,Fiction
0345445783,Lights Out,Peter Abrahams,Fiction
0345446100,Edge of Victory II,Greg Keyes,Fiction
0345446666,Death in Holy Orders,P. D. James,Fiction
0345448146,A Chosen Few,Mark Kurlansky,History
0345448197,Boogaloo on 2nd Avenue,Mark Kurlansky,Fiction
0345449002,Star Wars,Daniel Wallace,Fiction
0345449029,Star Wars,W. Haden Blackman,Performing Arts
0345450396,Flinx's Folly,Alan Dean Foster,Fiction
0345450698,Clay's Quilt,Silas House,Fiction
0345452518,Sunstorm,Arthur Charles Clarke;Stephen Baxter,Fiction
0345453743,The Ultimate Hitchhiker's Guide to the Galaxy,Douglas Adams,Fiction
0345453867,Shadow Dance,Julie Garwood,Fiction
0345455827,1968,Mark Kurlansky,History
0345455916,The Probable Future,Alice Hoffman,Fiction
0345456327,The Belgariad V.2,David Eddings,Fantasy
0345456343,The Vampire Chronicles Collection,Anne Rice,Fiction
0345457374,The Bonesetter's Daughter,Amy Tan,Fiction
0345457692,Altered Carbon,Richard K. Morgan,Fiction
0345457749,Market Forces,Richard K. Morgan,Fiction
0345458567,Tales Before Tolkien,Douglas A. Anderson,Fiction
034545894X,Body Double,tess girritsen,Fiction
0345461274,Lost and Found,Alan Dean Foster,Fiction
0345461304,The Light-Years Beneath My Feet,Alan Dean Foster,Fiction
0345461363,To The Last Man,Jeff Shaara,Fiction
0345461584,Sliding Scales,Alan Dean Foster,Fiction
0345461614,Running from the Deity,Alan Dean Foster,Fiction
0345461673,Judas Unchained,Peter F. Hamilton,Fiction
0345463056,The Swarm War,Troy Denning,Fiction
0345463099,Yoda,Sean Stewart,Fiction
0345463153,The Fourth Hand,John Irving,Fiction
0345463293,Bloodcurdling Tales of Horror and the Macabre: The Best of H. P. Lovecraft,H. P. Lovecraft,Fiction
034546401X,Saving Fish from Drowning,Amy Tan,Fiction
0345464974,A Parchment of Leaves,Silas House,Fiction
0345465547,The Heritage of Shannara,Terry Brooks,Fiction
034546639X,All I Really Need to Know I Learned in Kindergarten,Robert Fulghum,Self-Help
0345467329,Perfect Nightmare,John Saul,Fiction
0345468031,The Franklin Affair,Jim Lehrer,Fiction
0345468368,Oh My Stars,Lorna Landvik,Fiction
0345468392,The Chronicles of Riddick,Alan Dean Foster,Fiction
0345472454,The Amateur Marriage,Anne Tyler,Fiction
0345475739,Star Wars,James Luceno,Fiction
0345476093,The Guns of August,Barbara Wertheim Tuchman,History
0345476514,Wish You Were Here,Nick Webb,Biography & Autobiography
0345476727,The Fortunate Pilgrim,Mario Puzo,Biography & Autobiography
0345476883,The Vampire Lestat,Anne Rice,Fiction
0345476980,Vanish,Tess Gerritsen,Fiction
0345477367,Darth Bane,Drew Karpyshyn,Fiction
0345477383,Star Wars,Timothy Zahn,Fiction
0345477529,Tempest,Troy Denning,Fiction
034547760X,Star Wars,Ann Margaret Lewis;Helen Keier,Fiction
0345477979,Tsubasa,CLAMP (Mangaka group),Juvenile Fiction
0345478231,Narrative of the Life of Frederick Douglass, an American Slave,Frederick Douglass;Harriet Jacobs,Biography & Autobiography
034547824X,Already Dead,Charlie Huston,Fiction
0345478258,No Dominion,Charlie Huston,Fiction
0345478959,A Slipping-down Life,Anne Tyler,Fiction
0345479173,Trump,Donald Trump,Biography & Autobiography
0345479394,Ego & Hubris,Harvey Pekar,Biography & Autobiography
0345479459,Inferno,Alex Irvine;Bob Kane,Comics & Graphic Novels
0345479726,Until I Find You,John Irving,Fiction
0345480058,The Coal Tattoo,Silas House,Fiction
0345481291,Throne of Jade,Naomi Novik,Fiction
034548133X,A Dangerous Man,Charlie Huston,Fiction
0345482409,Enchantment,Orson Scott Card,Fiction
0345483170,How to Be Lost,Amanda Eyre Ward,Fiction
0345483197,Queen of the Underworld,Gail Godwin,Fiction
0345483898,Jarka Ruus,Terry Brooks,Fiction
034548410X,Armageddon's Children,Terry Brooks,Fiction
0345484290,Tsubasa 9 Reservoir Chronicle,CLAMP (Mangaka group),
0345484401,Them,Joyce Carol Oates,Fiction
0345485254,Thirteen,Richard K. Morgan,Fiction
0345485289,Tsubasa, 11,CLAMP (Mangaka group),Amnesia
0345485327,Tsubasa 12 Reservoir Chronicle,CLAMP (Mangaka group),Graphic novels
0345486471,Candy Licker,Noire,Fiction
0345486587,Drop Dead Gorgeous,Linda Howard,Fiction
0345487036,The Devil's Labyrinth,John Saul,Fiction
0345487427,Feel the Fear-- and Do it Anyway,Susan J. Jeffers,Psychology
0345487621,The Devilish Pleasures of a Duke,Jillian Hunter,Fiction
0345490096,Star Wars Republic Commando,Karen Traviss,Fiction
0345490649,The Manhattan Hunt Club,John Saul,Fiction
0345492862,The Voyage of the Jerle Shannara Trilogy,Terry Brooks,Fiction
0345494024,The Plague Dogs,Richard Adams,Fiction
0345494768,The Making of Star Wars,J. W. Rinzler,Performing Arts
0345495810,Star Trek, the Animated Series,Alan Dean Foster,Star trek fiction
0345495837,Star Trek Logs Five and Six,Alan Dean Foster,Fiction
0345495845,Logs Seven and Eight,Alan Dean Foster,Fiction
0345538374,The Hobbit / The Lord of the Rings,John Ronald Reuel Tolkien,Fiction
0345915593,The World According to Garp,John Irving,
0349100136,If this is a Man ; and The Truce,Primo Levi,History
0349100470,The Drowned and the Saved,Primo Levi,Auschwitz (Poland : Concentration camp)
034910056X,The Lost Continent,Bill Bryson,Cities and towns
0349102503,The Life and Death of My Lord Gilles de Rais,Robert Nye,
0349105308,Lincoln,Gore Vidal,Political fiction
0349106711,The Age of Extremes,Eric J. Hobsbawm,History, Modern
0349107866,Hitler's Willing Executioners,Daniel Jonah Goldhagen,Antisemitism
0349110018,A Supposedly Fun Thing I'll Never Do Again,David Foster Wallace,Popular culture
034911188X,Brief Interviews with Hideous Men,David Foster Wallace,Misogyny
0349113009,Embrace,Mark Behr,Fiction
0349113467,The Tipping Point,Malcolm Gladwell,Social Science
0349113483,Aldous Huxley,Nicholas Murray,Great Britain
0349113912,Me Talk Pretty One Day,David Sedaris,Education
034911630X,Long Walk to Freedom,Nelson Mandela,Apartheid
0349116644,Dead Air,Iain Banks,London (England)
0349117047,The Kalahari Typing School for Men,Alexander McCall Smith,Botswana
0370307127,A Likely Lad,Gillian Avery,Adventure stories
0373028601,The Love Artist,Valerie Parv,Fiction
0373033109,Lawful Possession,Catherine George,Fiction
0373033664,P.S. I Love You,Valerie Parv,Fiction
037306232X,The Boy in White,Tessa Kay,Fiction
037312418X,The Sultan's Bought Bride,Jane Porter,Fiction
037312600X,A Mistress For The Taking,Annie West,Fiction
0373194862,Sky's Pride and Joy,Sandra Steffen,Fiction
0373195605,If You Don't Know by Now,Teresa Southwick,Fiction
0373225733,The Stranger Next Door,Joanna Wayne,Fiction
0373246471,The Sheik & the Princess Bride,Susan Mallery,Fiction
0373246838,Lori's Little Secret,Christine Rimmer,Fiction
0373250215,Burning The Map,Laura Caldwell,Fiction
0373250479,Slightly Settled,Wendy Markham,Fiction
0373250711,Monkey Business,Sarah Mlynowski,Fiction
0373273495,The Right Stuff,Merline Lovelace,Fiction
0373274483,In Dark Waters,Mary Burton,Fiction
0373274610,The Bluest Eyes in Texas,Marilyn Pappano,Fiction
0373274742,Wild Fire,Debra Cowan,Fiction
037328523X,The MacGregors,Nora Roberts,Fiction
0373285248,Dream Makers,Nora Roberts,Fiction
0373285434,Rebellion,Nora Roberts,Fiction
0373288565,The Gunslinger,Mary McBride,Fiction
0373289804,Lady of the Lake,Elizabeth Mayne,Fiction
0373291779,The Gunslinger's Bride,Cheryl St. John,Fiction
0373483376,Tallchief for Keeps,Cait London,Fiction
0373484410,Time & Again,Nora Roberts,Man-woman relationships
0373510055,First Impressions,Nora Roberts,Fiction
0373511620,Year's Happy Ending,Betty Neels,Fiction
0373513283,Double-Cross,Meredith Fletcher,Fiction
0373632444,Father to Son,Warren Murphy;Richard Sapir,Fiction
0373638167,Savage Sun,James Axler,Fiction
0373638175,Omega Path,James Axler,Fiction
0373638523,Hydra's Ring,James Axler,Fiction
0373692285,Her Last Temptation,Leslie Kelly,Fiction
0373712480,Her Little Secret,Anna Adams,Fiction
0373713010,Expectant Father,Melinda Curtis,Fiction
0373713444,The Other Woman,Brenda Novak,Fiction
0373760035,The Accidental Bodyguard,Ann Major,Fiction
0373764197,Tallchief,Cait London,Fiction
0373764219,Dr. Desirable,Kristi Gold,Fiction
0373766629,Blame it on the Blackout,Heidi Betts,Fiction
0373767617,Bedded Then Wed,Heidi Betts,Fiction
037376779X,Blackmailed Into Bed,Heidi Betts,Fiction
0373771258,Tell Me No Lies,Elizabeth Lowell,Fiction
0373771371,A Lady At Last,Brenda Joyce,Fiction
0373771711,The Pirate, the Adventurer & the Cowboy,Jayne Ann Krentz,Fiction
037377172X,Call After Midnight & Under the Knife,Tess Gerritsen,Fiction
0373772513,Manhunting,Jennifer Crusie,Fiction
0373772521,Reckless Love,Elizabeth Lowell,Fiction
0373792735,The Perfect Score,Julie Kenner,Fiction
0373802137,Elphame's Choice,P. C. Cast,Fiction
0373802390,Winter Moon,Mercedes Lackey;Tanith Lee;C. E. Murphy,Fiction
0373802420,Brighid's Quest,P. C. Cast,Fiction
037380248X,Shattered Dance,Caitlin Brennan,Fiction
0373832710,Sizzle,Jennifer Crusie,Fiction
0373835493,The Foundling,Georgette Heyer,Fiction
0373836082,Sylvester,Georgette Heyer,Fiction
0373836937,And the Envelope, Please...,Barbara Bretton;Emilie Rose;Isabel Sharpe,Fiction
0373870280,Suddenly Daddy,Loree Lough,Fiction
0373895208,Seven Sunny Days,Chris Manby,Fiction
0374131945,Cross-X,Joe Miller,Social Science
0374146357,The Echo Maker,Richard Powers,Fiction
0374253846,That Same Flower,Jostein Gaarder;Anne Born,Fiction
0374271070,Sylvia,Leonard Michaels,Fiction
0374280398,Uncommon Carriers,John McPhee,Literary Collections
0374292795,The World Is Flat [Updated and Expanded],Thomas L. Friedman,Social Science
0374299196,The Discomfort Zone,Jonathan Franzen,Biography & Autobiography
0374422087,Everything on a Waffle,Polly Horvath,Juvenile Fiction
0374500525,Gimpel the Fool and Other Stories,Isaac Bashevis Singer,Fiction
0374502005,The Natural,Bernard Malamud,Fiction
0374506809,The Slave,Isaac Bashevis Singer,Fiction
0374516006,Giving Good Weight,John McPhee,Literary Collections
0374517886,Sammlung,Isaac Bashevis Singer,Fiction
0374519749,Heirs of General Practice,John McPhee,Biography & Autobiography
0374522596,The Control of Nature,John McPhee,Nature
0374522839,The Death of Artemio Cruz,Carlos Fuentes,Fiction
0374522871,Coming Into the Country,John McPhee,Nature
0374523932,Assembling California,John McPhee,Science
0374524793,Satan in Goray,Isaac Bashevis Singer,Fiction
0374524920,The Stories (So Far) of Deborah Eisenberg,Deborah Eisenberg,Fiction
0374525072,The Lost Lunar Baedeker,Mina Loy,Poetry
0374525110,The Spirit Level,Seamus Heaney,Poetry
0374525803,The Artist of the Missing,Paul LaFarge,Fiction
0374525862,The Magic Barrel,Bernard Malamud,Fiction
0374526966,The Eclogues of Virgil,Virgil,Poetry
0374527059,The Oresteia of Aeschylus,Aeschylus;Ted Hughes,Drama
0374528373,The Brothers Karamazov,Fyodor Dostoevsky,Fiction
0374528535,Get Out of My Life, But First Could You Drive Me & Cheryl to the Mall,Anthony E. Wolf,Family & Relationships
0374528551,Selected Verse,Federico García Lorca;Christopher Maurer;Catherine Brown,Poetry
0374528667,Crescent and Star,Stephen Kinzer,History
0374529264,Memoirs of Hadrian,Marguerite Yourcenar;Grace Frick,Fiction
0374529388,The Fixer,Bernard Malamud,Fiction
0374529604,The Poetry of Pablo Neruda,Pablo Neruda;Ilan Stavans,Poetry
0374529949,Play It As It Lays,Joan Didion,Fiction
0374530254,Gimpel the Fool,Isaac Bashevis Singer,Fiction
0374530300,Martin and John,Dale Peck,Fiction
0374530319,Georgics (Zongo Classics),Virgil,Poetry
0374530491,Palm-of-the-Hand Stories,Yasunari Kawabata;Lane Dunlop;J. Martin Holman,Fiction
0374530718,Sophie's World,Jostein Gaarder,Fiction
0374626235,The complete stories,Flannery O'Connor,Short stories
0375400702,Molloy,Samuel Beckett,Fiction
0375407936,The Border Trilogy,Cormac McCarthy,Fiction
0375408274,Ralph Ellison,Arnold Rampersad,Biography & Autobiography
0375411720,Collected Shorter Fiction,graf Leo Tolstoy;Louise Maude,Fiction
0375413316,Palace Walk,Najīb Mahfūz;Ṣabrī Ḥāfiẓ,
0375415033,Essays,George Orwell,Literary Collections
037542105X,On Late Style,Edward W. Saïd,Literary Criticism
0375422714,The Good Husband of Zebra Drive,Alexander McCall Smith,Botswana
0375422722,Blue Shoes and Happiness,Alexander McCall Smith,Botswana
037542380X,Black Hole,Charles Burns,Comics & Graphic Novels
0375500723,The Heart of a Woman,Maya Angelou,Biography & Autobiography
0375507159,Cliffs of Despair,Tom Hunt,Psychology
0375507906,In Cold Blood,Truman Capote,True Crime
0375509178,Shakespeare's Kitchen,Francine Segan,Cooking
0375700129,As She Climbed Across the Table,Jonathan Lethem,Fiction
0375700269,Evening,Susan Minot,Fiction
0375700811,The Executioner's Song,Norman Mailer,Fiction
0375701362,Virginia Woolf,Hermione Lee,Biography & Autobiography
0375701478,Night Falls Fast,Kay Redfield Jamison,
037570180X,Geisha,Jodi Cobb;Ian Buruma,Photography
0375701885,The Amen Corner,James Baldwin,Drama
0375701893,Tell Me how Long the Train's Been Gone,James Baldwin,Fiction
0375701966,The Moviegoer,Walker Percy,Fiction
0375702369,The World and Other Places,Jeanette Winterson,Fiction
0375702970,Melville,Andrew Delbanco,Biography & Autobiography
0375703063,A Virtuous Woman,Kaye Gibbons,Fiction
0375703403,Maximum City,Suketu Mehta,Social Science
0375703845,Glamorama,Bret Easton Ellis,Fiction
0375703861,White Teeth,Zadie Smith,FICTION
037570387X,The Autograph Man,Zadie Smith,Fiction
0375704051,Awakenings,Oliver W. Sacks,Medical
0375704256,Sons of Mississippi,Paul Hendrickson,Biography & Autobiography
0375704434,For the relief of unbearable urges,Nathan Englander,Fiction
037570504X,Breath, Eyes, Memory,Edwidge Danticat,Fiction
0375705244,Founding Brothers,Joseph J. Ellis,Biography & Autobiography
037570633X,The Tiny One,Eliza Minot,Fiction
0375706364,Crucible of War,Fred Anderson,History
0375706674,No Country for Old Men,Cormac McCarthy,Fiction
0375707212,I Married a Communist,Philip Roth,Fiction
0375707492,Lives of Girls and Women,Alice Munro,Fiction
0375708219,The Working Poor,David K. Shipler,Social Science
0375708227,Masters of Death,Richard Rhodes,History
0375708731,American Chronicle,Gore Vidal,Vice-Presidents
0375711163,De Kooning,Mark Stevens;Annalyn Swan,Biography & Autobiography
0375713344,Geek Love,Katherine Dunn,Fiction
037571393X,John James Audubon,Richard Rhodes,Art
0375714332,Mediterranean Winter,Robert D. Kaplan,Travel
0375714499,Manufacturing Consent,Edward S. Herman;Noam Chomsky,Political Science
0375714626,Mythology,Alex Ross,Art
0375714634,Peanuts,Charles M. Schulz,Art
0375714766,Good-bye, Chunky Rice,Craig Thompson,Comics & Graphic Novels
0375719008,The Adolescent,Fyodor Dostoyevsky,Fiction
0375719016,The Double and the Gambler,Fyodor Mikhailovich Dostoevsky;Fyodor Dostoyevsky,Fiction
0375724370,Anil's Ghost,Michael Ondaatje,Fiction
0375724427,The Stories of John Cheever,John Cheever,United States
0375724508,Ghostwritten,David Mitchell,Fiction
037572463X,Theatre,William Somerset Maugham,Fiction
0375724931,The bridegroom,Ha Jin,Fiction
0375724958,Stranger in the Forest,Eric Hansen,Travel
0375725032,Elect Mr. Robinson for a Better World,Donald Antrim,Fiction
0375725180,Staff Training in Mental Handicap,James Hogg;Peter J. Mittler,Intellectual disability facilities
037572530X,Shroud,John Banville,Fiction
0375725970,Acts of Faith,Philip Caputo,Fiction
0375726217,Double Fold,Nicholson Baker,Language Arts & Disciplines
0375726519,The Box Man,Kōbō Abe,Fiction
0375726527,The Ruined Map,Kōbō Abe,Fiction
0375726535,The Face of Another,Kobo Abe;Kōbō Abe,Fiction
0375726713,A Coffin for Dimitrios,Eric Ambler,Fiction
0375726721,Journey Into Fear,Eric Ambler,Fiction
0375726799,The Light of Day,Eric Ambler,Fiction
037572706X,Julian,Gore Vidal,Fiction
0375727132,The Dive from Clausen's Pier,Ann Packer,Fiction
